base_ssim,best_mse,best_ssim,best_step,cfg,config_json,data,delta_ssim,diffusion,fails,lpips,model,mse,mse_median,mse_x4,n,per_script,protocol,run,series,skel_iou,source,ssim,ssim_mean,ssim_median,ssim_楷,ssim_行,ssim_隶,step
,1.0389,0.4622,30000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0005"", ""cfg_max_steps"": ""47500"", ""cfg_eval_csv"": ""assets/eval_fame_strict.csv"", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260830-181142-s22-char-embed-only,s22_char_embed_only,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""assets/eval_fame_strict.csv"", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260830-225724-s23-glyph-cond,s23_glyph_cond,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""assets/eval_fame_strict.csv"", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-005426-s23-glyph-cond,s23_glyph_cond,,all_experiments_20260903,,,,,,,
,1.0452,0.4618,45000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""assets/eval_fame_strict.csv"", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-033258-s25-ids-pretrain,s25_ids_pretrain,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""train.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""16"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0003"", ""cfg_max_steps"": ""100000"", ""cfg_eval_csv"": ""test.csv"", ""cfg_eval_cfg"": ""1.7""}",train.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-121321-s26-ctrl-gt-skel,s26_ctrl_gt_skel,,all_experiments_20260903,,,,,,,
,1.1683,0.4229,3000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""assets/eval_fame_strict.csv"", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-192249-s28-std-dino-pretrain,s28_std_dino_pretrain,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""assets/eval_fame_strict.csv"", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-201139-s28-std-dino-pretrain,s28_std_dino_pretrain,,all_experiments_20260903,,,,,,,
,1.0999,0.44,2000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""assets/eval_fame_strict.csv"", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-201158-s28-std-dino-pretrain,s28_std_dino_pretrain,,all_experiments_20260903,,,,,,,
,1.0861,0.4469,3000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame_clean.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""assets/eval_fame_strict_clean.csv"", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame_clean.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-204702-s28-std-dino-pretrain,s28_std_dino_pretrain,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame_clean.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""400"", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame_clean.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-224438-s28-bench-cu121_base,s28_std_dino_pretrain,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame_clean.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""400"", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame_clean.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-224808-s28-bench-cu121_compile,s28_std_dino_pretrain,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame_clean.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""384"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""120"", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame_clean.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-225554-s28-bench-b384,s28_std_dino_pretrain,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame_clean.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""448"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""100"", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame_clean.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-225825-s28-bench-b448,s28_std_dino_pretrain,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame_clean.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""416"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""100"", ""cfg_eval_csv"": """", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame_clean.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-225949-s28-bench-b416,s28_std_dino_pretrain,,all_experiments_20260903,,,,,,,
,1.0788,0.4476,3000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame_clean.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""384"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""assets/eval_fame_strict_clean.csv"", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame_clean.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260831-231516-s28-std-dino-pretrain,s28_std_dino_pretrain,,all_experiments_20260903,,,,,,,
,0.7015,0.5773,50000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""kailishu_train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""128"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""50000"", ""cfg_eval_csv"": ""kailishu_eval.csv"", ""cfg_eval_cfg"": ""4.0""}",kailishu_train.csv,,,,,DiT-2Cond-S/2,,,,,,,20260816-200759-s-fromscratch-2factor-kailishu,s2_fromscratch_2factor,,all_experiments_20260903,,,,,,,
,1.2845,0.453,10000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""kailishu_train.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""128"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""50000"", ""cfg_eval_csv"": ""kailishu_eval.csv"", ""cfg_eval_cfg"": ""4.0""}",kailishu_train.csv,,,,,DiT-2Cond-S/2,,,,,,,20260816-192801-s-fromscratch-2cond-glyph-midstep-kailishu,s2_fromscratch_glyphmid,,all_experiments_20260903,,,,,,,
,1.0717,0.4503,3000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame_clean.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""384"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""assets/eval_fame_strict_clean.csv"", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame_clean.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260901-035827-s30-dino-char-strong-pretrain,s30_dino_char_strong_pretrain,,all_experiments_20260903,,,,,,,
,0.9299,0.4841,130000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_fame_clean.csv"", ""cfg_diffusion_type"": ""flow"", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""384"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.00015"", ""cfg_max_steps"": ""150000"", ""cfg_eval_csv"": ""assets/eval_fame_strict_clean.csv"", ""cfg_eval_cfg"": ""0.7""}",assets/train_fame_clean.csv,,flow,,,DiT-2Cond-S/2,,,,,,,20260901-052520-s30-dino-char-strong-pretrain,s30_dino_char_strong_pretrain,,all_experiments_20260903,,,,,,,
,0.7815,0.4822,325000,,"{""cfg_model"": ""DiT-2Cond-B/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""64"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""400000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-B/2,,,,,,,20260818-134212-s5-2factor-B-canny05-pixelsk,s5_2factor_B_canny05_pixelsk,,all_experiments_20260903,,,,,,,
,0.8828,0.5067,130000,,"{""cfg_model"": ""DiT-2Cond-B/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""64"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-B/2,,,,,,,20260817-162129-s5-2factor-B-latent-struct,s5_2factor_B_latentstruct,,all_experiments_20260903,,,,,,,
,1.7656,0.1164,5000,,"{""cfg_model"": ""DiT-2Cond-B/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""64"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""400000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-B/2,,,,,,,20260817-235725-s5-2factor-B-latentC-pixelsk-opt,s5_2factor_B_latentstruct_pixelsk_opt,,all_experiments_20260903,,,,,,,
,0.8715,0.3907,115000,,"{""cfg_model"": ""DiT-2Cond-B/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""64"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""400000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-B/2,,,,,,,20260818-004938-s5-2factor-B-latentC-pixelsk-opt,s5_2factor_B_latentstruct_pixelsk_opt,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-B/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""96"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""300000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-B/2,,,,,,,20260819-124351-s5-2factor-B-pixelfp32,s5_2factor_B_pixelfp32,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-B/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""128"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""300000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-B/2,,,,,,,20260819-124629-s5-2factor-B-pixelfp32,s5_2factor_B_pixelfp32,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-B/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""64"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""300000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-B/2,,,,,,,20260819-125137-s5-2factor-B-pixelfp32,s5_2factor_B_pixelfp32,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-B/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""64"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""300000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-B/2,,,,,,,20260819-125422-s5-2factor-B-pixelfp32,s5_2factor_B_pixelfp32,,all_experiments_20260903,,,,,,,
,1.142,0.2367,50000,,"{""cfg_model"": ""DiT-2Cond-B/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""32"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""300000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-B/2,,,,,,,20260819-125708-s5-2factor-B-pixelfp32,s5_2factor_B_pixelfp32,,all_experiments_20260903,,,,,,,
,0.9151,0.5319,55000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""12"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-S/2,,,,,,,20260817-114502-struct-post50k,s5_2factor_struct_post50k,,all_experiments_20260903,,,,,,,
,2.4657,0.1198,1000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""50000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-S/2,,,,,,,20260816-230931-s5-2factor-top30-bigbatch,s5_2factor_top30,,all_experiments_20260903,,,,,,,
,0.8543,0.512,50000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""50000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-S/2,,,,,,,20260816-232040-s5-2factor-top30-bigbatch,s5_2factor_top30,,all_experiments_20260903,,,,,,,
,0.8412,0.5197,70000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-S/2,,,,,,,20260817-100535-s5-2factor-top30-bigbatch,s5_2factor_top30,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-S/2,,,,,,,20260823-120253-s5-top30-diffonly-resume,s5_2factor_top30,,all_experiments_20260903,,,,,,,
,0.8488,0.5078,20000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_top6.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""assets/eval100_top6.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top6.csv,,,,,DiT-2Cond-S/2,,,,,,,20260819-225143-s6-top6-diffonly,s6_top6_diffonly,,all_experiments_20260903,,,,,,,
,0.4319,0.7322,195000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_top6.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""192"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""assets/eval100_top6.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top6.csv,,,,,DiT-2Cond-S/2,,,,,,,20260820-191536-s6-top6-diffonly-resume,s6_top6_diffonly,,all_experiments_20260903,,,,,,,
,0.9105,0.3314,90000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_top6.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""48"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""assets/eval100_top6.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top6.csv,,,,,DiT-2Cond-S/2,,,,,,,20260820-002342-s6-top6-struct-fp32,s6_top6_struct_fp32,,all_experiments_20260903,,,,,,,
,0.7828,0.4044,125000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_top6.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""48"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""assets/eval100_top6.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top6.csv,,,,,DiT-2Cond-S/2,,,,,,,20260821-073004-s6-top6-struct-fp32-resume,s6_top6_struct_fp32,,all_experiments_20260903,,,,,,,
,1.4542,0.166,15000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_top6.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""8"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""200000"", ""cfg_eval_csv"": ""assets/eval100_top6.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top6.csv,,,,,DiT-2Cond-S/2,,,,,,,20260820-161241-s6-top6-struct-fp32-fullbatch,s6_top6_struct_fp32_full,,all_experiments_20260903,,,,,,,
,0.8879,0.509,75000,,"{""cfg_model"": ""DiT-2Cond-S/4"", ""cfg_data_csv"": ""assets/train_top30.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""assets/eval100_top30.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30.csv,,,,,DiT-2Cond-S/4,,,,,,,20260823-163710-s7-klf4-top30-diffonly,s7_klf4_top30,,all_experiments_20260903,,,,,,,
,0.5351,0.6524,200000,,"{""cfg_model"": ""DiT-2Cond-S/2"", ""cfg_data_csv"": ""assets/train_top6.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""8"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0001"", ""cfg_max_steps"": ""275000"", ""cfg_eval_csv"": ""assets/eval100_top6.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top6.csv,,,,,DiT-2Cond-S/2,,,,,,,20260821-142832-s7-ramp-b8all,s7_ramp_b8all,,all_experiments_20260903,,,,,,,
,0.8369,0.5257,105000,,"{""cfg_model"": ""DiT-2Cond-S/4"", ""cfg_data_csv"": ""assets/train_top30_clean.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""assets/eval100_top30_clean.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30_clean.csv,,,,,DiT-2Cond-S/4,,,,,,,20260823-234546-s8-klf4-clean-dino,s8_klf4_clean_dino,,all_experiments_20260903,,,,,,,
,,,,,"{""cfg_model"": ""DiT-2Cond-S/4"", ""cfg_data_csv"": ""assets/train_top30_clean.csv"", ""cfg_diffusion_type"": """", ""cfg_main_ckpt"": """", ""cfg_skel_latent_shards_dir"": """", ""cfg_global_batch_size"": ""224"", ""cfg_batch_size"": """", ""cfg_lr"": ""0.0002"", ""cfg_max_steps"": ""600000"", ""cfg_eval_csv"": ""assets/eval100_top30_clean.csv"", ""cfg_eval_cfg"": ""4.0""}",assets/train_top30_clean.csv,,,,,DiT-2Cond-S/4,,,,,,,20260824-083321-s8-klf4-clean-dino,s8_klf4_clean_dino,,all_experiments_20260903,,,,,,,
